Name,Total,HP,Attack,Defence,Sp_attack,Sp_defence,Speed,KMeans_Cluster,PCA1,PCA2,Agg_Cluster,DBSCAN_Cluster
Blitzle,295,45,60,32,50,32,76,0,-2.3702605742074936,1.18008589073405,1,0
Zebstrika,497,75,100,63,80,63,116,2,0.7979213717788572,1.456571959333634,0,0
Roggenrola,280,55,75,85,25,25,15,0,-2.516460166091181,-1.4256905746664992,1,0
Boldore,390,70,105,105,50,40,20,2,-0.7588307567916159,-1.6102105402631963,0,0
Gigalith,515,85,135,130,60,80,25,2,1.2808359487376755,-2.2518660938916386,0,0
Woobat,323,65,45,43,55,43,72,0,-1.8799492556217692,0.7488013785031186,1,0
Swoobat,425,67,57,55,77,55,114,2,-0.3552246289766767,1.5924598192756836,0,0
Drilbur,328,60,85,40,30,45,68,0,-1.7903569506643349,0.5134076651752834,1,0
Excadrill,508,110,135,60,50,65,88,2,1.0963850733838383,0.4846178727196235,0,0
Audino,445,103,60,86,60,86,50,2,0.19626622996465215,-1.020213360776209,0,0
Mega Audino,545,103,60,126,80,126,50,2,1.8152572991180458,-1.945599054526808,0,-1
Timburr,305,75,80,55,25,35,35,0,-2.0892881891669464,-0.5445557957952197,1,0
Gurdurr,405,85,105,85,40,50,40,2,-0.5079472677194753,-1.001792775096136,0,0
Conkeldurr,505,105,140,95,55,65,45,2,1.1093043258450228,-1.1023519241004076,0,0
Tympole,294,50,50,40,50,40,64,0,-2.3425111933357434,0.655546678170339,1,0
Palpitoad,384,75,65,55,65,55,69,0,-0.8823435694605443,0.42496139421705303,1,0
Seismitoad,509,105,95,75,85,75,74,2,1.1432850480119012,0.09936616509829713,0,0
Throh,465,120,100,85,30,85,45,2,0.5476270396525231,-1.410483582065212,0,0
Sawk,465,75,125,75,30,75,85,2,0.3785199974846419,-0.03975360092134892,0,0
Sewaddle,310,45,53,70,40,60,42,0,-2.0349731161999562,-0.6729350364853887,1,0
Swadloon,380,55,63,90,50,80,42,0,-0.895150954947434,-1.159720294655139,0,0
Leavanny,500,75,103,80,70,80,92,2,0.9198421527924313,0.33943362662650545,0,0
Venipede,260,30,45,59,30,39,57,0,-2.9140102233593357,0.014735576352721078,1,0
Whirlipede,360,40,55,99,40,79,47,0,-1.2566657814730824,-1.2591141334162241,0,0
Scolipede,485,60,100,89,55,69,112,2,0.580417943815293,0.6305488235403232,0,0
Cottonee,280,40,27,60,37,50,66,0,-2.5849963895091834,0.12217623723448982,1,0
Whimsicott,480,60,67,85,77,75,116,2,0.5078239775761374,0.923362553043385,0,0
Petilil,280,45,35,50,70,50,30,0,-2.4781438676696084,-0.213279260319041,1,0
Lilligant,480,70,60,75,110,75,90,2,0.5967988975694803,0.7876244608874151,0,0
Basculin,460,70,92,65,80,55,98,2,0.23144674613817523,1.084338626986911,0,0
Mega Basculin,460,70,92,65,80,55,98,2,0.23144674613817523,1.084338626986911,0,0
Sandile,292,50,72,35,35,35,65,0,-2.381088387440073,0.6962995019466256,1,0
Krokorok,351,60,82,45,45,45,74,0,-1.4465713256446628,0.6950438720436722,1,0
Krookodile,519,95,117,80,65,70,92,2,1.2279513109350735,0.326741138142742,0,0
Darumaka,315,70,90,45,15,45,50,0,-1.9436485012414562,-0.16599023923398715,1,0
Mega Darumaka,315,70,90,45,15,45,50,0,-1.9436485012414562,-0.16599023923398715,1,0
Darmanitan,480,105,140,55,30,55,95,2,0.6144668338782394,0.6613611954520844,0,0
Mega Darmanitan,540,105,30,105,140,105,55,1,1.7077314566334691,-0.7133955318607006,0,-1
Mega Darmanitan X,480,105,140,55,30,55,95,2,0.6144668338782394,0.6613611954520844,0,0
Mega Darmanitan X,540,105,160,55,30,55,135,2,1.465708259809307,1.5995651152472905,0,-1
Maractus,461,75,86,67,106,67,60,2,0.369758758828766,0.2898162653656864,0,0
Dwebble,325,50,65,85,35,35,55,0,-1.8895269592591983,-0.492000071492236,1,0
Crustle,485,70,105,125,65,75,45,2,0.7314914302235714,-1.5829561003206263,0,0
Scraggy,348,50,75,70,35,70,48,0,-1.4212402386235445,-0.6668291287750836,0,0
Scrafty,488,65,90,115,45,115,58,2,0.83133831659517,-1.6320057682130562,0,0
Sigilyph,490,72,58,80,103,80,97,2,0.7450334803827814,0.7348230485745547,0,0
Yamask,303,38,30,85,55,65,30,0,-2.132416390653569,-1.1347321813989424,1,0
Mega Yamask,303,38,55,85,30,65,30,0,-2.13239799847061,-1.3478900588846696,1,0
Cofagrigus,483,58,50,145,95,105,30,2,0.758310189997434,-2.300316742217745,0,0
Tirtouga,355,54,78,103,53,45,22,0,-1.3275549414382266,-1.513375145510388,1,0
Carracosta,495,74,108,133,83,65,32,2,0.8984487381728306,-1.7867732849287388,0,0
Archen,401,55,112,45,74,45,70,2,-0.651832759307269,0.9206914775014201,0,0
Archeops,567,75,140,65,112,65,110,1,1.9228816691740547,1.6013384667150092,2,0
Trubbish,329,50,50,62,40,62,65,0,-1.7712017138529579,-0.028610109743074073,1,0
Garbodor,474,80,95,82,60,82,75,2,0.5587577176943269,-0.22553616443542182,0,0
Zorua,330,40,65,40,80,40,65,0,-1.7886230827489762,1.0085601046532953,1,0
Zoroark,510,60,105,60,120,60,105,2,1.0077665864911807,1.719020650651991,0,0
Minccino,300,55,50,40,40,40,75,0,-2.2678471737604706,0.7975577569712119,1,0
Cinccino,470,75,95,60,65,60,115,2,0.3702130221226978,1.3710086289168653,0,0
Gothita,290,45,30,50,55,65,45,0,-2.326793875301046,-0.1466391505617672,1,0
Gothorita,390,60,45,70,75,85,55,2,-0.7298351467676464,-0.32109900965484744,0,0
Gothitelle,490,70,55,95,95,110,65,2,0.8647508641236201,-0.6227803994585015,0,0
Solosis,290,45,30,40,105,50,20,0,-2.283996170154242,0.07287822547334417,1,0
Duosion,370,65,40,50,125,60,30,0,-1.0057958283412518,0.15579268588703077,1,0
Reuniclus,490,110,65,75,125,85,30,2,0.9779459528453278,-0.6671917418502055,0,0
Ducklett,305,62,44,50,44,50,55,0,-2.1208269485439657,0.0680723916057721,1,0
Swanna,473,75,87,63,87,63,98,2,0.4623597328986773,1.0967988853902766,0,0
Vanillite,305,36,50,50,65,60,44,0,-2.109117829653109,0.016931291431018167,1,0
Vanillish,395,51,65,65,80,75,59,2,-0.6872962216375864,0.04954687250178777,0,0
Vanilluxe,535,71,95,85,110,95,79,1,1.5251395828434566,0.19652736004698343,0,0
Deerling,335,60,60,50,40,50,75,0,-1.697932414697618,0.5115335523891913,1,0
Sawsbuck,475,80,100,70,60,70,95,2,0.5145107466566088,0.573250888940096,0,0
Emolga,428,55,75,60,75,60,103,2,-0.29247520201463356,1.2375793426600656,0,0
Karrablast,315,50,75,45,40,45,60,0,-1.9956585186263875,0.3526908096934585,1,0
Escavalier,495,70,135,105,60,105,20,2,1.0339498127312923,-2.0614648865028093,0,0
Foongus,294,69,55,45,55,55,15,0,-2.171073429612402,-0.71018704909846,1,0
Amoonguss,464,114,85,70,85,80,30,2,0.5672982145123793,-0.9004894481352048,0,0
Frillish,335,55,40,50,65,85,40,0,-1.5482077196820148,-0.3676509202244212,1,0
Jellicent,480,100,60,70,85,105,60,2,0.7775197193613343,-0.40718187593687055,0,0
Alomomola,470,165,75,80,40,45,65,2,0.5642298100303991,-0.5805449868516134,0,-1
Joltik,319,50,47,50,57,50,65,0,-1.9402349380737698,0.4633407407921867,1,0
Galvantula,472,70,77,60,97,60,108,2,0.4123250617528804,1.512219863795274,0,0
Ferroseed,305,44,50,91,24,86,10,0,-2.0077481413703,-2.188332630958077,1,0
Ferrothorn,489,74,94,131,54,116,20,2,0.937499559774846,-2.7607126753618343,0,0
Klink,300,40,55,70,45,60,30,0,-2.170499620153605,-0.8833115256686888,1,0
Klang,440,60,80,95,70,85,50,2,0.046389949793044206,-0.9273452975400437,0,0
Klinklang,520,60,100,115,70,85,90,2,1.1920473302829098,-0.36991161933593314,0,0
Tynamo,275,35,55,40,45,40,60,0,-2.6539427327724967,0.5707287384900791,1,0
Eelektrik,405,65,85,70,75,70,40,2,-0.47850002748837345,-0.5140076302083743,0,0
Eelektross,515,85,115,80,105,80,50,2,1.2747144834517263,-0.3184851761155789,0,0
Elgyem,335,55,55,55,85,55,30,0,-1.589186408940869,-0.22595731257583962,1,0
Beheeyem,485,75,75,75,125,95,40,2,0.8463483647419238,-0.4000078840444524,0,0
Litwick,275,50,30,55,65,55,20,0,-2.521337145348857,-0.6508907053316185,1,0
Lampent,370,60,40,60,95,60,55,0,-1.085480110073664,0.273860714271817,0,0
Chandelure,520,60,55,90,145,90,80,1,1.2545402414425226,0.49880097566691245,0,0
Axew,320,46,87,60,30,40,57,0,-1.9412441790052715,-0.027966965329784568,1,0
Fraxure,410,66,117,70,40,50,67,2,-0.504695971652333,-0.021200708348783102,0,0
Haxorus,540,76,147,90,60,70,97,2,1.5110606651754526,0.294602545664571,0,0
Cubchoo,305,55,70,40,60,40,40,0,-2.102240210362626,0.19956657761822277,1,0
Beartic,505,95,130,80,70,80,50,2,1.1300453331834015,-0.668343458574866,0,0
Cryogonal,515,80,50,50,95,135,105,2,1.2756242739199393,0.895785956356472,0,0
Shelmet,305,50,40,85,40,65,25,0,-2.0720123191409954,-1.422029965382449,1,0
Accelgor,495,80,70,40,100,60,145,2,0.7210251926272053,2.732691685625552,0,0
Stunfisk,471,109,66,84,81,99,32,2,0.6888532237577016,-1.3269815450248494,0,0
Mega Stunfisk,471,109,81,99,66,84,32,2,0.6421164038183372,-1.608228424829532,0,0
Mienfoo,350,45,85,50,55,50,65,0,-1.456200694503311,0.49570560124313834,1,0
Mienshao,510,65,125,60,95,60,105,2,1.0146077833452884,1.484701619957432,0,0
Druddigon,485,77,120,90,60,90,48,2,0.8026498312684281,-1.0365974327006644,0,0
Golett,303,59,74,50,35,50,35,0,-2.1071812988593823,-0.4395478590888972,1,0
Golurk,483,89,124,80,55,80,55,2,0.7611696805622274,-0.6804584065480416,0,0
Pawniard,340,45,85,70,40,40,60,0,-1.6444777328217355,-0.05347818934575141,1,0
Bisharp,490,65,125,100,60,70,70,2,0.7599065177746644,-0.5002898316784434,0,0
Bouffalant,490,95,110,95,40,95,55,2,0.8935566986311594,-1.2725141053551665,0,0
Rufflet,350,70,83,50,37,50,60,0,-1.40972322551715,0.12598688410606138,1,0
Braviary,510,100,123,75,57,75,80,2,1.1374966495419165,0.015229125443110142,0,0
Vullaby,370,70,55,75,45,65,60,0,-1.09083036398249,-0.4322208200906629,1,0
Mandibuzz,510,110,65,105,55,95,80,2,1.1578115469875416,-0.8371766152081848,0,0
Heatmor,484,85,97,66,105,66,65,2,0.7343480531274461,0.4000478393273656,0,0
Durant,484,58,109,112,48,48,109,2,0.5015965392203307,0.25756098847979836,0,0
Deino,300,52,65,50,45,50,38,0,-2.1716528568274165,-0.26113001028880634,1,0
Zweilous,420,72,85,70,65,70,58,2,-0.2758907128067194,-0.21764256886111358,0,0
Hydreigon,600,92,105,90,125,90,98,1,2.5204842426870706,0.6633442791261639,2,0
Larvesta,360,55,85,55,50,55,60,0,-1.2674106077699538,0.16104470366733473,1,0
Volcarona,550,85,60,65,135,105,100,1,1.772162721273486,1.1296862401964674,2,0
Cobalion,580,91,90,129,90,72,108,1,2.0982882647456393,-0.031168582754825442,2,0
Terrakion,580,91,129,90,72,90,108,1,2.177777249329806,0.418330472981369,2,0
Virizion,580,91,90,72,90,129,108,1,2.2759301146923723,0.5515695998355097,0,0
Tornadus,580,79,115,70,125,80,111,1,2.156185762065299,1.483540944730188,2,0
Mega Tornadus,580,79,100,80,110,90,121,1,2.140396564915724,1.279759409006334,2,0
Thundurus,580,79,115,70,125,80,111,1,2.156185762065299,1.483540944730188,2,0
Mega Thundurus,580,79,105,70,145,80,101,1,2.1808714548363115,1.4331886881123772,2,0
Reshiram,680,100,120,100,150,120,90,1,3.8668323174747865,0.24756507828337185,2,0
Zekrom,680,100,150,120,120,100,90,1,3.8045239144288177,-0.21269391245049582,2,0
Landorus,600,89,125,90,115,80,101,1,2.488955089356957,0.754306687120746,2,0
Mega Landorus,600,89,145,90,105,80,91,1,2.5136628527475207,0.44816497752006246,2,0
Kyurem,660,125,130,90,130,90,95,1,3.5229642490358577,0.55473836123274,2,2
Mega Kyurem,700,125,170,100,120,90,95,1,4.145201109188734,0.3064349321277193,2,0
Mega Kyurem X,700,125,120,90,170,100,95,1,4.176329561655575,0.8349854559746713,2,2
Keldeo,580,91,72,90,129,90,108,1,2.1777353151526584,0.9043304336488273,2,0
Mega Keldeo,580,91,72,90,129,90,108,1,2.1777353151526584,0.9043304336488273,2,0
Meloetta,600,100,77,77,128,128,90,1,2.6417554198089306,0.3681044832392127,0,0
Mega Meloetta,600,100,128,90,77,77,128,1,2.431292306521037,1.0093038743647682,2,0
Genesect,600,71,120,95,120,95,99,1,2.493812187882117,0.5832947190473446,2,0
Chespin,313,56,61,65,48,45,38,0,-1.9870693086894053,-0.4912480085223988,1,0
Quilladin,405,61,78,95,56,58,57,2,-0.5778055592486759,-0.6656169564144913,0,0
Chesnaught,530,88,107,122,74,75,64,2,1.4249881818874672,-1.0618628700910386,0,0
Fennekin,307,40,45,40,62,60,60,0,-2.100377396161325,0.5291521752053687,1,0
Braixen,409,59,59,58,90,70,73,2,-0.491514528779336,0.6112257845879822,0,0
Delphox,534,75,69,72,114,100,104,1,1.4774984601972476,0.9757060387609272,2,0
Froakie,314,41,56,40,62,44,71,0,-2.0473972550421093,0.9298913014944086,1,0
Frogadier,405,54,63,52,83,56,97,2,-0.6423156315388061,1.3550367540201211,0,0
Greninja,530,72,95,67,103,71,122,1,1.31308735465911,1.6703680937347505,0,0
Mega Greninja,640,72,145,67,153,71,132,1,3.0300957591102216,2.4178268304902635,2,0
Bunnelby,237,38,36,38,32,36,57,0,-3.2499098729138445,0.425095715420275,1,0
Diggersby,423,85,56,77,50,77,78,2,-0.253808923946069,-0.16380044970141172,0,0
Fletchling,278,45,50,43,40,38,62,0,-2.605077674202344,0.4922880919542165,1,0
Fletchinder,382,62,73,55,56,52,84,0,-0.974804763562705,0.7619179949069176,0,0
Talonflame,499,78,81,71,74,69,126,2,0.8121007620787735,1.3974596905557575,0,0
Scatterbug,200,38,35,40,27,25,35,0,-3.805687664473453,-0.07010217923048503,1,0
Spewpa,213,45,22,60,27,30,29,0,-3.5877215428086577,-0.6680382835117323,1,0
Vivillon,411,80,52,50,90,50,89,2,-0.5018706836358656,1.2317082780424753,0,0
Litleo,369,62,50,58,73,54,72,0,-1.1503526620201865,0.5506585690359759,1,0
Pyroar,507,86,68,72,109,66,106,2,0.9919416556922835,1.2367872977469268,0,0
Flabébé,303,44,38,39,61,79,42,0,-2.074618494987524,-0.062384509156706056,1,0
Floette,371,54,45,47,75,98,52,0,-0.9798120176147089,-0.046882325857918496,1,0
Florges,552,78,65,68,112,154,75,1,1.9508673308352278,-0.12361678756896047,0,0
Skiddo,350,66,65,48,62,57,52,0,-1.3791901361338745,0.15118514130801097,1,0
Gogoat,531,123,100,62,97,81,68,2,1.5574995936283358,0.21401845338665676,0,0
Pancham,348,67,82,62,46,48,43,0,-1.4208665189134286,-0.3818431493492197,1,0
Pangoro,495,95,124,78,69,71,58,2,0.9361423063666694,-0.38184309114586557,0,0
Furfrou,472,75,80,60,65,90,102,2,0.4940897686648281,0.7938935937959071,0,0
Espurr,355,62,48,54,63,60,68,0,-1.345669218851338,0.38572391566674713,1,0
Meowstic,466,74,48,76,83,81,104,2,0.3569260937346929,0.7586448995737566,0,0
Mega Meowstic,466,74,48,76,83,81,104,2,0.3569260937346929,0.7586448995737566,0,0
Honedge,325,45,80,100,35,37,28,0,-1.84235092232539,-1.3859141889527264,1,0
Doublade,448,59,110,150,45,49,35,2,0.07542013551732461,-2.2073921220746917,0,0
Aegislash,500,60,50,140,50,140,60,2,1.0318307977291439,-2.2550128103088993,0,1
Mega Aegislash,500,60,140,50,140,50,60,2,0.9516630193482296,1.1832438591890102,2,0
Spritzee,341,78,52,60,63,65,23,0,-1.431024292818647,-0.8570389056716488,1,0
Aromatisse,462,101,72,72,99,89,29,2,0.536153490286704,-0.8774516669781178,0,0
Swirlix,341,62,48,66,59,57,49,0,-1.53978106515097,-0.291032024853451,1,0
Slurpuff,480,82,80,86,85,75,72,2,0.645406968168377,-0.09335166498388325,0,0
Inkay,288,53,54,53,37,46,45,0,-2.3889341469512906,-0.21083960848994135,1,0
Malamar,482,86,92,88,68,75,73,2,0.6778492733938497,-0.27121711253971326,0,0
Binacle,306,42,52,67,39,56,50,0,-2.1268359147578844,-0.39695165149923856,1,0
Barbaracle,500,72,105,115,54,86,68,2,0.9480969800400054,-1.0710086826334353,0,0
Skrelp,320,50,60,60,60,60,30,0,-1.8290514974001897,-0.5800091421145496,1,0
Dragalge,494,65,75,90,97,123,44,2,1.0047424280037345,-1.0714604652471704,0,0
Clauncher,330,50,53,62,58,63,44,0,-1.701506781126975,-0.34779644621877986,1,0
Clawitzer,500,71,73,88,120,89,59,2,1.0049818759879103,-0.19335976345528397,0,0
Helioptile,289,44,38,33,61,43,70,0,-2.430894566140659,1.0131696475032,1,0
Heliolisk,481,62,55,52,109,94,109,2,0.618453386803807,1.5075828352367293,0,0
Tyrunt,362,58,89,77,45,45,48,0,-1.246528931474063,-0.49914969547454136,0,0
Tyrantrum,521,82,121,119,69,59,71,2,1.2282951830600057,-0.7172150238407609,0,0
Amaura,362,77,59,50,67,63,46,0,-1.1495616729936318,-0.07258621170460557,1,0
Aurorus,521,123,77,72,99,92,58,2,1.434761464706883,-0.30541432036945926,0,0
Sylveon,525,95,65,65,110,130,60,2,1.5388588408148365,-0.27525879574064893,0,0
Hawlucha,500,78,92,75,74,63,118,2,0.8312225023371709,1.2002274907729364,0,0
Dedenne,431,67,58,57,81,67,101,2,-0.20629999779629726,1.1882735489726348,0,0
Carbink,500,50,50,150,50,150,50,2,1.0517857689622565,-2.7303344303364394,0,1
Goomy,300,45,50,35,55,75,40,0,-2.119371660849149,-0.04597867924928317,1,0
Sliggoo,452,68,75,53,83,113,60,2,0.32545328428851994,-0.052987102149868154,0,0
Goodra,600,90,100,70,110,150,80,1,2.7046881833067693,-0.0382590517488772,0,0
Klefki,470,57,80,91,80,87,75,2,0.4640189734680406,-0.18949724797312442,0,0
Phantump,309,43,70,48,50,60,38,0,-2.019171914149119,-0.22957019202054466,1,0
Trevenant,474,85,110,76,65,82,56,2,0.6191871351443243,-0.5040349624849614,0,0
Pumpkaboo,335,49,66,70,44,55,51,0,-1.6659132621337394,-0.385547977264141,1,0
Mega Pumpkaboo,335,44,66,70,44,55,56,0,-1.6850862700635774,-0.2539475447521133,1,0
Mega Pumpkaboo X,335,54,66,70,44,55,46,0,-1.6467402542039011,-0.5171484097761687,1,0
Mega Pumpkaboo X,335,59,66,70,44,55,41,0,-1.6275672462740631,-0.6487488422881964,1,0
Gourgeist,494,65,90,122,58,75,84,2,0.7741884071621682,-0.691999300930276,0,0
Mega Gourgeist,494,55,85,122,58,75,99,2,0.7234921880438022,-0.31835915660302416,0,0
Mega Gourgeist X,494,75,95,122,58,75,69,2,0.8248846262805342,-1.0656394452575277,0,0
Mega Gourgeist X,494,85,100,122,58,75,54,2,0.8755808453989002,-1.4392795895847792,0,0
Bergmite,304,55,69,85,32,35,28,0,-2.1485259181293745,-1.154253668115987,1,0
Avalugg,514,95,117,184,44,46,28,2,1.1430222882490595,-3.1118557199654084,0,-1
Noibat,245,40,30,35,45,40,55,0,-3.104224985149269,0.5115334974718106,1,0
Noivern,535,85,70,80,97,80,123,1,1.4110884187069292,1.243947676038866,0,0
Xerneas,680,126,131,95,131,98,99,1,3.8415888276719787,0.4880514904922699,2,2
Yveltal,680,126,131,95,131,98,99,1,3.8415888276719787,0.4880514904922699,2,2
Zygarde,600,108,100,121,81,95,95,1,2.525265215253831,-0.5128757047468995,2,0
Mega Zygarde,486,54,100,71,61,85,115,2,0.632740978207357,0.9777508041978002,0,0
Mega Zygarde X,708,216,100,121,91,95,85,1,4.407408339395882,-1.0071305880044148,0,-1
Diancie,600,50,100,150,100,150,50,1,2.6351540712639836,-2.212869199748925,0,-1
Mega Diancie,700,50,160,110,160,110,110,1,4.034711881356131,0.9021920048264765,2,-1
Hoopa,600,80,110,60,150,130,70,1,2.6867806734856945,0.5182679673600232,2,-1
Mega Hoopa,680,80,160,60,170,130,80,1,3.9287896225560632,0.9825924084478455,2,-1
Volcanion,600,80,110,120,130,90,70,1,2.5398693771262906,-0.4601975468448557,2,0
Rowlet,320,68,55,55,50,50,42,0,-1.8485889712834405,-0.2793828406727292,1,0
Dartrix,420,78,75,75,70,70,52,2,-0.25845304742118846,-0.4326815465569782,0,0
Decidueye,530,78,107,75,100,100,70,2,1.49890786189857,0.029157836650097746,0,0
Litten,320,45,65,40,60,40,70,0,-1.9524762762569154,0.9181969811974723,1,0
Torracat,420,65,85,50,80,50,90,2,-0.38229532362777596,1.2402198953407633,0,0
Incineroar,530,95,115,90,80,90,60,2,1.510089015517778,-0.6361797479089778,0,0
Popplio,320,50,54,54,66,56,40,0,-1.8550898813872183,-0.14936653210462764,1,0
Brionne,420,60,69,69,91,81,50,2,-0.24937501754517813,-0.20891627805398244,0,0
Primarina,530,80,74,74,126,116,60,1,1.5594838442654992,-0.11417546298960582,0,0
Pikipek,265,35,75,30,30,30,65,0,-2.8335225834462037,0.8409237115790433,1,0
Trumbeak,355,55,85,50,40,50,75,0,-1.3880742020352368,0.5509246007212347,1,0
Toucannon,485,80,120,75,75,75,60,2,0.7637417298534419,-0.21119707604864066,0,0
Yungoos,253,48,70,30,30,30,45,0,-2.9563910886665763,0.3332096589493693,1,0
Gumshoos,418,88,110,60,55,60,45,2,-0.2625081283046497,-0.3628211579854865,0,0
Grubbin,300,47,62,45,55,45,46,0,-2.2026934306146666,0.17037982471883512,1,0
Charjabug,400,57,82,95,55,75,36,2,-0.5765068686879897,-1.2909678049198983,0,0
Vikavolt,500,77,70,90,145,75,43,2,1.0223992059371108,-0.26272955798749426,0,0
Crabrawler,338,47,82,57,42,47,63,0,-1.6523331214011285,0.21081493686631111,1,0
Crabominable,478,97,132,77,62,67,43,2,0.6998484940495062,-0.7379488802613429,0,0
Oricorio,476,75,70,70,98,70,93,2,0.5284341180375148,0.8751477989621151,0,0
Mega Oricorio,476,75,70,70,98,70,93,2,0.5284341180375148,0.8751477989621151,0,0
Mega Oricorio X,476,75,70,70,98,70,93,2,0.5284341180375148,0.8751477989621151,0,0
Mega Oricorio X,476,75,70,70,98,70,93,2,0.5284341180375148,0.8751477989621151,0,0
Cutiefly,304,40,45,40,55,40,84,0,-2.2472207854826265,1.1913726248595382,1,0
Ribombee,464,60,55,60,95,70,124,2,0.252520571869396,1.7863379762533655,0,0
Rockruff,280,45,65,40,30,40,60,0,-2.561115833787042,0.40506917936178316,1,0
Mega Rockruff,280,45,65,40,30,40,60,0,-2.561115833787042,0.40506917936178316,1,0
Lycanroc,487,75,115,65,55,65,112,2,0.6512594527136097,1.0865946372759816,0,0
Mega Lycanroc,487,85,115,75,55,75,82,2,0.7479064556660746,0.08487128720033095,0,0
Mega Lycanroc X,487,75,117,65,55,65,110,2,0.6561995340170858,1.0424189255547032,0,0
Wishiwashi,175,45,20,20,25,25,40,0,-4.18207067871008,0.36987162319178174,1,0
Mega Wishiwashi,620,45,140,130,140,135,30,1,2.9865996740750287,-1.7292845787157105,2,-1
Mareanie,305,50,53,62,43,52,45,0,-2.1218530341257824,-0.36939885632376995,1,0
Toxapex,495,50,63,152,53,142,35,2,0.9914112467092004,-3.002718570814649,0,1
Mudbray,385,70,100,70,45,55,45,2,-0.8307354309579847,-0.5528509029976095,0,0
Mudsdale,500,100,125,100,55,85,35,2,1.082510818554979,-1.6009074364206612,0,0
Dewpider,269,38,40,52,40,72,27,0,-2.612592715465497,-0.7696167812403087,1,0
Araquanid,454,68,70,92,50,132,42,2,0.3962516633701869,-1.6929682520182603,0,0
Fomantis,250,40,55,35,50,35,35,0,-2.9856739489404163,0.1655980792778021,1,0
Lurantis,480,70,105,90,80,90,45,2,0.7213230586042848,-0.9072665575824392,0,0
Morelull,285,40,35,55,65,75,15,0,-2.324226631874909,-0.9044233296188587,1,0
Shiinotic,405,60,45,80,90,100,30,2,-0.4116678760030993,-1.0771262759166218,0,0
Salandit,320,48,44,40,71,40,77,0,-1.9656809705768943,1.1539047463903682,1,0
Salazzle,480,68,64,60,111,60,117,2,0.5140276813297336,1.846135397265852,0,0
Stufful,340,70,75,50,45,50,50,0,-1.5433692131650816,-0.03579610126650439,1,0
Bewear,500,120,125,80,55,60,60,2,1.0202343201073663,-0.4911922673215572,0,0
Bounsweet,210,42,30,38,30,38,32,0,-3.6062119738200247,-0.20514565217429714,1,0
Steenee,290,52,40,48,40,48,62,0,-2.391050697510907,0.27658508087554645,1,0
Tsareena,510,72,120,98,50,98,72,2,1.1395248187420863,-0.7852158151978148,0,0
Comfey,485,51,52,90,82,110,100,2,0.6787783588578671,0.21505740196262751,0,0
Oranguru,490,90,60,80,90,110,60,2,0.9210947615845426,-0.5612457645584382,0,0
Passimian,490,100,120,90,40,60,80,2,0.7740802836436597,-0.30130027968364237,0,0
Wimpod,230,25,35,40,20,30,80,0,-3.4495357574124275,0.8978983200892294,1,0
Golisopod,530,75,125,140,60,90,40,2,1.476550666677485,-2.161318896060788,0,0
Sandygast,320,55,55,80,70,45,15,0,-1.8374995607689786,-1.100327169730502,1,0
Palossand,480,85,75,110,100,75,35,2,0.7141630444459184,-1.2742044613185672,0,0
Pyukumuku,410,55,60,130,30,130,5,2,-0.273089809408957,-3.404479191639452,0,-1
Type: Null,534,95,95,95,95,95,59,2,1.5803343113554604,-0.6751095821729433,0,0
Silvally,570,95,95,95,95,95,95,1,2.0614386790932455,0.1528670400318515,2,0
Minior,440,60,60,100,60,100,60,2,0.046179692623257,-1.0373778733290036,0,0
Mega Minior,500,60,100,60,100,60,120,2,0.8123901817947141,1.8706972390113918,0,0
Komala,480,65,115,65,75,95,65,2,0.7029508005260802,-0.036862341505912055,0,0
Turtonator,485,60,78,135,91,85,36,2,0.7489572329346681,-1.8145056719023707,0,0
Togedemaru,435,65,98,63,40,73,96,2,-0.12797244532448976,0.5623065701977347,0,0
Mimikyu,476,55,90,80,50,105,96,2,0.552750028060506,0.07686423806381114,0,0
Bruxish,475,68,105,70,70,70,92,2,0.5055387805278836,0.6430372400536646,0,0
Drampa,485,78,60,85,135,91,36,2,0.8411692397128572,-0.5763867969825085,0,0
Dhelmise,517,70,131,100,86,90,40,2,1.3083961984187278,-1.1323227086682728,0,0
Jangmo-o,300,45,55,65,45,45,45,0,-2.2252102177329354,-0.32750685756687,1,0
Hakamo-o,420,55,75,90,65,70,65,2,-0.33864359602551997,-0.39007979364091944,0,0
Kommo-o,600,75,110,125,100,105,85,1,2.5205008257730324,-0.6091559921103695,2,0
Tapu Koko,570,70,115,85,95,75,130,1,1.9119403534232517,1.425778428518849,2,0
Tapu Lele,570,70,85,75,130,115,95,1,2.0896293803468824,0.7615633723070215,2,0
Tapu Bulu,570,70,130,115,85,95,75,1,2.0544677628707175,-0.667347598845375,2,0
Tapu Fini,570,70,75,115,95,130,85,1,2.0998744685390345,-0.7016344374304888,0,0
Cosmog,200,43,29,31,29,31,37,0,-3.781767510964552,0.09115589131326483,1,0
Cosmoem,400,43,29,131,29,131,37,2,-0.5259555970489713,-2.694198835842717,0,-1
Solgaleo,680,137,137,107,113,89,97,1,3.830163849058018,0.09198625742674482,2,2
Lunala,680,137,113,89,137,107,97,1,3.8862436188613443,0.48064040378893824,2,2
Nihilego,570,109,53,47,127,131,103,1,2.1863125552271434,1.1506059910943436,0,-1
Buzzwole,570,107,139,139,53,53,79,2,1.984244458624115,-1.078716698564114,0,-1
