text,processed_text
"Женька, упрись! Ногами, руками, головой. У тебя всё получится. Учись и береги спину. Удачи😄",женька упереться нога рука голова всё получиться учиться беречь спина удача
"Писал в предыдущем посте, но думаю что можно и здесь продублироватьЧасть этой истории, наглядный пример долбаебам, которые с гордостью заявляют: ""Ну бухаю! И че такова?""",писать предыдущий пост думать продублироватьчасть история наглядный пример долбаебам который гордость заявлять бухать че таковой
"Прямо олицетворение России, точнее российской глубинки, от просмотра фоток мне даже чуть теплее стало в офисе, хотя уже три дня мерзнем без отопления (в Новосибе)Вы все большие молодцы!",прямо олицетворение россия точнее российский глубинка просмотр фотка тёплый стать офис хотя день мёрзнуть отопление новосиб больший молодец
"Прекрасная семья, где Женя точно будет своим. Много мальчишек, здорово! Целая бригада, вместе горы свернут.",прекрасный семья женя точно свой мальчишка здорово целый бригада вместе гора свернуть
"Вы с мужем люди с большими сердцами. Чудесные и дети у вас такие же. Сил вам побольше, а Жене удачи и успехов, с таким тылом у него всё будет хорошо.",муж человек больший сердце чудесный ребёнок сила большой жена удача успех тыл всё
"Поддержала - инвестировала) Пусть, когда я буду старенькая, будет больше людей с профессией, которые будут обеспечивать мою пенсию)",поддержать инвестировать пусть старенький человек профессия который обеспечивать пенсия
"Это лучший пост на Пикабу за очень долгое время! Спасибо Вам. Какая красивая семья) Удачи во всем. Надо иметь большую смелость, чтобы все это выложить и не бояться хейтеров, не обращайте на них внимания. Хороших людей больше.P.s слог письма - шикарен)",это хороший пост пикаба очень долгий время спасибо красивый семья удача весь иметь больший смелость это выложить бояться хейтер обращать внимание хороший человек слог письмо шикарный
"Очень добрая получилась серия постов, настроение с утра подняли. Добро должно вознаграждаться, так что не зря вы сбор открыли)) Всего вам и вашей семье хорошего, детям и племяннику выучиться! ❤️",очень добрый получиться серия пост настроение утро поднять добро должный вознаграждаться зря сбор открыть ваш семья хороший ребёнок племянник выучиться
"это первое, что я читаю с начала всей ситуации. Линара заткнула всех диванных экспертов. Пруфы хотите? Нате, все по полочкам, мошейница? Нате фото меня и всей моей семьи! Красотка просто!",это первый читать начало весь ситуация линар заткнуть диванный эксперт пруфа хотеть нате полочка мошейница нате фото весь семья красотка просто
"Ещё и карлика эксплуатируют, заставляют за рабами надзирать :/",ещё карлик эксплуатировать заставлять раб надзирать
"Божечки, какие вы нерафинированные, обычные, живые и не изображаете счастливую многодетную семьюкак прыгучие сектанты.Оставайтесь такими же",божечка нерафинированный обычный живой изображать счастливый многодетный семьюкак прыгучий сектант оставаться
"Ничего здесь не было для меня неожиданным, потому что читал все прежние посты.Ничего, кроме аллегории - ""как жопа из кустов""!Прелестно!Респект за всё проделанное, за посты, за откровенность, за позитив!Пацану, вам, семье вашей - сбычи мечт и планов!Я не донатил - простите! Всё что могу вырвать из своего бюджета, отправляю на беспилотники нашим.",неожиданный читать прежний пост кроме аллегория жопа куст прелестно респект всё проделать пост откровенность позитив пацан семья ваш сбыча мечта план донатила простить всё мочь вырвать свой бюджет отправлять беспилотник наш
"Здорово! Я даже расплакалась. Может, от того, что вы-татары/башкиры наполовину или больше и поэтому такие семейные. Мне в жизни такие люди не встречались, к сожалению. Хотя я тоже на треть азиатка. Но у нас все родственники - это сплошная конкуренция и соперничество. Одна тётка добрая и у неё своих 4ро. Но там мужик полное говно. Может, дети делают людей добрыми, не знаю. Честно, по-доброму завидую. Удачи вам и всем ваших родственникам!А расскажите про вашего мужа, если не трудно. Вы с ним сразу стали понимать друг друга? Бывают ли разногласия? В целом, конечно, без любви никакой семьи не построить. Да ещё сын болел. И вообще, очень много расходов. Одни мужики, представляю, сколько надо еды!",здорово расплакаться татарин башкир наполовину поэтому семейный жизнь человек встречаться сожаление хотя треть азиатка родственник это сплошной конкуренция соперничество тётка добрый свой ро мужик полный говно ребёнок делать человек добрый знать честно добрый завидовать удача весь ваш родственник рассказать ваш муж трудно сразу стать понимать друг друг бывать разногласие целое любовь никакой семья построить ещё сын болеть вообще очень расход мужик представлять сколько еда
"У вас прекрасная семья! Давно Вас читаю). А самый большой молодец - Женя, что сделал правильный выбор, что попросил помощи, что увидел перспективы. Удачи ему!",прекрасный семья давно читать самый большой молодец женя сделать правильный выбор попросить помощь увидеть перспектива удача
"Я хочу сказать вам спасибо, это героический поступок для меня, возможно это сильно в лучшую сторону поменяет судьбу мальчишки. Я лет с 10 очень мечтала чтобы меня родственники приютили, лишь бы не жить в дурдоме с маргиналами. Часто как и ваш племянник ходила в гости на неделю другую к сестре, к тетке и к бабушке, все знали что домой не хочу, но рано или поздно приходилось возвращаться домой. Родственников я не веню по разным причинам меня не могли забрать на постоянное место проживания. В итоге 10 класс я бросила, потому что учиться и работать стало несовместимо, приоритет была работа, так как в 16 лет хочется юбку и сумочку новую, да и тупо есть хочется и чай с сахаром. Юности у меня не было получается, никакой романтики, дом, сон, работа. Спустя много лет случилась такая ситуация что у одной из моих родствениц умер муж, она была в такой сильнейшей прострации, что её 10 летний сын остался в не удел, постепенно так получилось что из гостей он перешёл к нам жить, его мать уехала на заработки, вышла замуж и родила ребёнка новому мужу. Её тоже плохой назвать не могу, сына она не забывала, созвоны, материальная поддержка с её стороны были и есть регулярно, просто так вышло. Мальчишку в 16 лет отправили в техникум на бюджет, сейчас в армии, причём в части расположенной недалёко от местонахождения матери, регулярно они там видятся в отгулах. Я счастлива что в какой момент помогла парню, дала ему уют, семейное тепло, он от равнодушия в семье не пошёл по наклонной, поступил отучился. В таком возрасте очень нужна поддержка, самому очень сложно принять правильный выбор, когда есть люди готовые придержать это важно",хотеть сказать спасибо это героический поступок возможно это сильно хороший сторона поменять судьба мальчишка год очень мечтать родственник приютить лишь жить дурдом маргинал часто ваш племянник ходить гость неделя сестра тётка бабушка знать домой хотеть рано поздно приходиться возвращаться домой родственник веня разный причина мочь забрать постоянный место проживание итог класс бросить учиться работать стать несовместимый приоритет работа год хотеться юбка сумочка новый тупо хотеться чай сахар юность получаться никакой романтик дом сон работа спустя год случиться ситуация родственица умереть муж сильный прострация её летний сын остаться удел постепенно получиться гость перейти жить мать уехать заработок выйти замуж родить ребёнок новый муж её плохой назвать мочь сын забывать созвон материальный поддержка её сторона регулярно просто выйти мальчишка год отправить техникум бюджет армия причём часть расположить недалёкий местонахождение мать регулярно видеться отгул счастливый момент помочь парень дать уют семейный тепло равнодушие семья пойти наклонный поступить отучиться возраст очень нужный поддержка очень сложно принять правильный выбор человек готовый придержать это важно
"Я тоже немного перевела, так как полагаю что с каждого по нитке - голому рубаха. Пусть у мальчишки все получится в жизни :)",немного перевести полагать каждый нитка голый рубаха пусть мальчишка получиться жизнь
"честь тебе и хвала, русская женщина. счастья и здоровья побольше чтобы такую толпу поднять!",честь хвала русский женщина счастие здоровье большой толпа поднять
А я рад за тёзку и что ему в жизни помогут. Лишь бы старался.,рад тёзка жизнь помочь лишь стараться
"Вы классные! :) у нас тоже фоток нет нормальных, дети старшие - подростки, вообще сейчас не хотят фоткаться, ыыы",классный фотка нормальный ребёнок старший подросток вообще хотеть фоткаться ыыы
"Всё, вопрос снят( в предыдущем посте немного сомневался, уже текст был слишком вылизан) вы действительно молодец 👍👍👍👍",всё вопрос снятой предыдущий пост немного сомневаться текст слишком вылизать действительно молодец
"Зашла в профиль, дочитала до поста про роддом, где вы пишете, что муж ещё одного ребёнка просит. Допросился, получается)Удачи вам и Жене!",зайти профиль дочитать пост роддом писать муж ещё ребёнок просить допроситься получаться удача жена
Что за собака у мамы на руках? Ваем собакам собака!!! ))),собака мама рука вать собака собака
"Пальцем в небо тыкну, это не белорецк случайно?",палец небо тыкнуть это белорецк случайно
"Парню успехов и не начать бухать, пойдя по стопам матери.",парень успех начать бухать пойти стопа мать
"Парню успехов 👍 хорошо когда есть неравнодушный родственник, вы молодец",парень успех неравнодушный родственник молодец
"Это уже для продвинутых. Я ещё вот такой аналоговый ""ключ"" застал).",это продвинуть ещё аналоговый ключ застать
"Как я обалдел когда нашел этот ящичек.. Матушка не знала о нем, отца не было.. Перетыкивал, крутил и поймал СТС...это было как ДО и ПОСЛЕ",обалдеть найти ящичек матушка знать немой отец перетыкивать крутило поймать стс это
Картинка с запахом,картинка запах
"У меня было чуть иначе, но суть та же ))",иначе
Я один раз поймал сигнал игры приставки и смотрел как сосед проходит игру...,поймать сигнал игра приставка смотреть сосед проходить игра
"Эта тема с "" кодовым замком"" напомнила мне немного о прошлом.Помню в далеком 1991 ом году по молодости пришлось поработать в телеателье , радиомехаником по ТВ. Предприятия закрывались , работы особо не было, поэтому пришлось поработать на этом поприще. Время было мутное и люди тоже попадались мутные. ( по сути , это были те же самые бывшие граждане СССР, "" порядочные , добрые и отзывчивые "" , которые вдруг резко изменились в новой эпохе.)Как то раз сидел на работе , разбирался с каким -то телевизором . Вдруг в цех зашли какие-то два мужика в пальто и меховых шапках и решительно направились в аквариум , где сидел начальник цеха. Вскоре они вышли оттуда и направились к моему столу.Из большой сумки они вытащили советский видеомагнитофон ВМ-12 и поставили мне на стол, со словами :""Сказали к тебе подойти, это по твоей части.""Я попытался обьяснить им , что, мол, занят своей работой, но из-за его спины робко показался начальник цеха и сказал мне "" ну посмотри, что там у ребят""Один из "" ребят"" с интонацией хозяина жизни пояснил мне , что "" купил видак дочке прямо с базы, а он сразу из упаковки не работает, дочка плачет ""В общем, пришлось отвлечься, разобрать и посмотреть.Сегодня я не помню, что с ним было конкретно, но помню , что я сразу увидел искривленный рычажок типа для расправки ленты. ( из-за этого он стопорился сразу при запуске) После того, как я пассатижами его подогнул, видак сразу заработал как надо.( был заводской брак)Хозяин видака очень обрадовался , достал бумажник, вытащил оттуда банкноту в 5 долларов и положил мне на стол. ( Сегодня многие подзабыли , что в то время по стране ходили доллары наряду с рублями, да и сумма эта была вполне ощутимая по тем голодным временам)Я не успел что-то осознать, как этот мужик приказным тоном озвучил мне свой план: Давай, собирайся, одевайся, доедем до дочки , подключишь видак, надо ей все настроить , чтобы она мне не выносила кукушку""Я попытался напомнить, что "" я же на работе"" , но снова нарисовался начальник цеха и произнес "" ну , сьезди , помоги ребятам, на работу оттуда сегодня уже не приходи, а я рабочий день закрою, как полный"". Вроде заплатили уже , много больше , чем надо было , отказаться как то не получалось.Я вообще посчитал, что это его были какие -то знакомые, ведь регулярно к нему приходили какие-то друзья и тд. Поэтому выключил все и пошел одеваться.На улице меня усадили в черную Волгу и мы поехали к дочке.( да, в те годы еще много кто ездил на таких машинах)В салоне авто уже сидели какие-то немолодые мужики, в итоге , ехали пятером. Я сидел позади в середине. Пока ехали, они обсуждали какой-то овощной магазин, какие-то накладные, какие-то проверки, в общем, ничего криминального, но я чувствовал себя весьма мерзко, размышляя про эти пять долларов.Приехав на нужный адрес, мы поднялись в лифте на 8 ой этаж и мой "" клиент"" позвонил в дверь. Открывали долго, минут десять, мужик переговаривался с дочерью через дверь , мол "" это я , доча, открывай""Дверь открыла такая недовольная девица в пижаме, с заспанной мятой физиономией.Отец ей представил меня и пояснил : "" Вот, привез тебе мастера, он все настроит. А я убегаю, у меня работа. Ах да! Я ему уже заплатил! Хорошо заплатил, поэтому ничего ему не плати!"" С этими словами за ним захлопнулась дверь.Я поставил видеомагнитофон на тумбочку рядом с телевизором. Это был такой типовой 3УСЦТ, (телевизор третьего поколения) ,как раз, с таким же кнопочным блоком выбора и настройки, но на 8 каналов. При чем над кнопкой номер 8 был нарисован специальный символ видеомагнитофона. Если не вдаваться в тонкости схемотехники, просто поясню, что при восьмом канале изменялась "" постоянная времени фильтра подстройки частоты импульсов развертки "" , для ситуации , когда лента кассеты растягивается и из-за этого изображение не должно сбиваться. Рассчитан этот канал был как раз на просмотр видео.Поэтому я настроил канал для просмотра видака на восьмую кнопку и стал показывать девице. Однако, она недовольным голосом заявила , что "" на восьмом канале у нас Ника!( был такой канал местного ТВ)Я попытался обьяснить, что"" восьмой канал на заводе настроили для видеомагнитофона, вон даже символ нарисовали"" Эту Нику настроил ей на соседний седьмой , тем более , что в то время в городе каналов вещания было всего 4-5, поэтому свободные кнопки были.Дева махнула рукой, мол,""ладно, понятно короче"" , и я ушел домой.На следующий день , в середине дня, в цех опять забежал тот мужик , подошел ко мне и с агрессивным тоном спросил: "" Ты чо творишь, бля? Ты нахуя девчонку обидел? Я тебе заплатил , как человеку, думал, сделаешь , как надо, а ты дочу мою до слез довел?!!!нихуя не сделал и свалил!""Я прихуел от такого наезда, стал обьяснять, мол , я все настроил и ушел , все работало, деве вашей показал. Она сказала "" все нормально, до свидания"" , что там у вас случилось? Я в чем виноват?Конечно, в первый момент я немного обосрался , ведь никто не знает, что могло произойти с той девой после того, как я ушел домой. Этого мне еще не хватало.Мужик отвечал , мол "" Да дочка плачет, ты ей ничего не настроил, ушел , а изображение дергается, смотреть невозможно ""Я попытался предложить "" может поехали снова? я вам покажу что все работало""Ответил "" да уже не надо! мы вызвали мастера по обьявлению, он там что-то припаял , теперь все работает""С этими словами достал какую -то небольшую сумму денег , протянул мне и произнес: "" а те пять баксов верни."" При мне их не было, и он сказал "" дочке моей потом занесешь"". ( занес , конечно, чтобы поскорей отделаться от этой гадкой истории)Вот так, пришлось столкнуться с обывательской глупостью таким неприятным образом. Мерзко было не из-за денег, а из-за их нежелании вникать в суть этих кнопок , колесиков и тп.(Тот ""мастер по обьявлению"" тупо припаял перемычку , из-за которой видак работал на любом канале, но я исходил из замысла включать на определенном канале.Да и ехал я "" просто настроить каналы"" , что я и сделал.Хотя , наверное, я сам должен был припаять эту перемычку "" от тупости обывателя"")Ну и время было такое, когда в обществе появились такие "" хозяева новой жизни"", да и на фоне тогдашней общей криминальной обстановки, не получилось сразу послать подальше этого гражданина с его видаком.Простите, меня старого за такие воспоминания.Но так вышло , что в том доме , в том подьезде , сегодня живет моя родственница и этот эпизод иногда всплывает в памяти.Показать полностью",тема кодовый замок напомнить немного прошлый помнить далёкий ом год молодость прийтись поработать телеателье радиомеханик тв предприятие закрываться работа особо поэтому прийтись поработать поприще время мутный человек попадаться мутный суть это самый бывший гражданин ссср порядочный добрый отзывчивый который резко измениться новый эпоха сидеть работа разбираться телевизор цех заслать мужик пальто меховой шапка решительно направиться аквариум сидеть начальник цех вскоре выйти оттуда направиться стол большой сумка вытащить советский видеомагнитофон вм поставить стол слово сказать подойти это твой часть попытаться обьяснить мол занятый свой работа спина робко показаться начальник цех сказать посмотреть ребята ребята интонация хозяин жизнь пояснить купить видак дочка прямо база сразу упаковка работать дочка плакать общий прийтись отвлечься разобрать посмотреть сегодня помнить конкретно помнить сразу увидеть искривить рычажок тип расправка лента стопориться сразу запуск пассатижи подогнуть видак сразу заработать заводский брак хозяин видака очень обрадоваться достать бумажник вытащить оттуда банкнот доллар положить стол сегодня многие подзабыть время страна ходить доллар наряду рубль сумма вполне ощутимый голодный время успеть осознать мужик приказный тон озвучить свой план давать собираться одеваться доехать дочка подключить видак настроить выносить кукушка попытаться напомнить работа снова нарисоваться начальник цех произнести сьездить помочь ребята работа оттуда сегодня приходить рабочий день закрой полный вроде заплатить отказаться получаться вообще посчитать это знакомый регулярно приходить друг тд поэтому выключить пойти одеваться улица усадить чёрный волга поехать дочка год ездить машина салон авто сидеть немолодой мужик итог ехать пятер сидеть позади середина пока ехать обсуждать овощной магазин накладный проверка общий криминальный чувствовать весьма мерзко размышлять пять доллар приехать нужный адрес подняться лифт ой этаж клиент позвонить дверь открывать долго минута десять мужик переговариваться дочь дверь мол это дотать открывать дверь открыть недовольный девица пижама заспанный мятый физиономия отец представить пояснить привезти мастер настроить убегать работа ах заплатить заплатить поэтому платить слово захлопнуться дверь поставить видеомагнитофон тумбочка рядом телевизор это типовой усцт телевизор третий поколение кнопочный блок выбор настройка канал кнопка номер нарисовать специальный символ видеомагнитофон вдаваться тонкость схемотехник просто пояснить восьмой канал изменяться постоянный время фильтр подстройка частота импульс развёртка ситуация лента кассета растягиваться изображение должный сбиваться рассчитать канал просмотр видео поэтому настроить канал просмотр видака восьмой кнопка стать показывать девица однако недовольный голос заявить восьмой канал ник канал местный тв попытаться обьяснить восьмой канал завод настроить видеомагнитофон вон символ нарисовать ник настроить соседний седьмой время город канал вещание поэтому свободный кнопка дева махнуть рука мол ладный понятно короче уйти домой следующий день середина день цех забежать мужик подойти агрессивный тон спросить творить бля нахуй девчонка обидеть заплатить человек думать сделать дочить слеза довести нихуй сделать свалить прихуесть наезд стать обьяснять мол настроить уйти работать дева ваш показать сказать нормально свидание случиться виноватый первый момент немного обосраться никто знать мочь произойти дева уйти домой хватать мужик отвечать мол дочка плакать настроить уйти изображение дёргаться смотреть невозможно попытаться предложить поехать снова показать работать ответить вызвать мастер обьявление припаять работать слово достать небольшой сумма деньга протянуть произнести пять бакс вернуть сказать дочка занести занести скорый отделаться гадкий история прийтись столкнуться обывательский глупость неприятный образ мерзко деньга нежелание вникать кнопка колёсико тп мастер обьявление тупо припаять перемычка который видак работать любой канал исходить замысел включать определённый канал ехать просто настроить канал сделать хотя наверное должный припаять перемычка тупость обыватель время общество появиться хозяин новый жизнь фон тогдашний общий криминальный обстановка получиться сразу послать далёкий гражданин видаком простить старое воспоминание выйти дом подьезда сегодня жить родственница эпизод всплывать память показать полностью
"А самое прикольное было, когда, зачастую, после настройки задвигаешь эту конструкцию обратно и каналы опять сбиваются.",самый прикольный зачастую настройка задвигать конструкция обратно канал сбиваться
Мажоры. Каналы переключаются со звуком тыг-тыг-тыг.,мажор канал переключаться звук тыг тыг тыг
У нас такой был в Радуге 719.,радуга
"Вспомнилось, когда в конце 80 стали кабельное проводить по подъездам, мы уезжали на лето и нам не подключили. Осенью я вот этими крутилками точной настройки каналов легко поймал их сигнал от соседского подключения.Смотрели несколько лет.Полагаю, что соседей задевал тот факт, что они платят, а мы - нет, и они постукивали кабельщикам.Кабельщики, в свою очередь несколько раз бросали нам в почтовый ящик филькины грамоты в стиле ""В очередной раз предупреждаем вас о безоплатном просмотре программ кабельного телевидения! На вас будет наложен штраф!!!"" Суммы предполагаемого штрафа менялись от 100 до 500 рублей с течением времени.Но смотреть я не переставал, логично рассуждая, что физически к их кабельному я не подключался, а запретить мне настраивать мой телевизор какие-то левые кооператоры не могут.С битами на выходе из подъезда тоже ни разу не встречали.",вспомниться конец стать кабельный проводить подъезд уезжать лето подключить осень крутилка точный настройка канал легко поймать сигнал соседский подключение смотреть несколько год полагать сосед задевать факт платить постукивать кабельщик кабельщик очередь несколько бросать почтовый ящик филькин грамота стиль очередной предупреждать безоплатный просмотр программа кабельный телевидение наложить штраф сумма предполагать штраф меняться рубль течение время смотреть переставать логично рассуждать физически кабельный подключаться запретить настраивать телевизор левый кооператор мочь бита выход подъезд встречать
Воспоминания накатили...,воспоминание накатить
"Помню, прокатился в шерстяных носках по линолеуму к телевизору, чтобы переключить программу. Послышался щелчок и программы перестали переключаться. Тогда я и узнал, что эта штука называется СВП-4 и вообще стал ближе к электронике.)",помнить прокатиться шерстяной носок линолеум телевизор переключить программа послышаться щелчок программа перестать переключаться узнать штука называться свп вообще стать близкий электроника
"Это ПТК.Воспоминание разблокировано:В школе только и разговоров было, что про новый канал на телеке. Почему-то он назывался 23й канал. Костян-друган показал мне как его настроить, я бегом домой. Пока бежал до своего подъезда не верил своему счастью! Зебегаю, бегом к своему ламповому ""Горизонту"", переключил эту красную штучку и давай крутить колёсико и.. ВОТ ОНО!!! Там показывали SUPER CHANEL - там были клипы, реклама и КАПИТАН POWER! Потом ещё стали крутить черепашек ниндзя, но на турецком языке. Эх, время было!",это птк воспоминание разблокировать школа разговор новый канал телек почему называться й канал костянин другать показать настроить бегом домой пока бежать свой подъезд верить свой счастие зебегать бегом свой ламповый горизонт переключить красный штучка давать крутить колёсико оно показывать клип реклама капитан ещё стать крутить черепашка ниндзя турецкий язык эх время
"интересно, почему их надо было всё время подстраивать )",интересно почему всё время подстраивать
"А пультом дистанционного управления, обычно, был самый младший в семье :-)",пульт дистанционный управление обычно самый младший семья
Березка Ц-208,берёзка ц
"На полном серьезе один прикрутил к кнопкам свое изобретение с шестью нитками, и дергал их с дивана. Такой пульт ДУ. Было в разделе «советы домашнему мастеру».А ранее этого в магазинах продавалось фабричное ДУ на толстом кабеле, который включалось в разъем на задней панели. Правда оно позволяло только менять громкость и яркость",полный серьёз прикрутить кнопка свой изобретение шесть нитка дёргать диван пульт ду раздел совет домашний мастер ранее магазин продаваться фабричный ду толстой кабель который включаться разъём задний панель правда оно позволять менять громкость яркость
